Month,Pangolin,Count
2020-03,B.1.1.214,2
2020-03,B.1.1.231,3
2020-03,B.1.1.254,2
2020-03,B.1.1.257,49
2020-03,B.1.1.28,3
2020-03,B.1.1.323,45
2020-03,B.1.1.33,38
2020-03,B.1.1.369,298
2020-03,B.1.1.372,278
2020-03,B.1.1.406,1
2020-03,B.1.1.416,1
2020-03,B.1.1.487,3
2020-03,B.1.1.513,2
2020-03,B.1.1.61,10
2020-03,B.1.1.67,1
2020-03,B.1.1.71,26
2020-03,B.1.1.75,4
2020-03,B.1.1.8,43
2020-03,B.1.1.89,30
2020-03,B.1.104,36
2020-03,B.1.108,24
2020-03,B.1.110,65
2020-03,B.1.110.3,6
2020-03,B.1.111,6
2020-03,B.1.116,1
2020-03,B.1.119,37
2020-03,B.1.12,6
2020-03,B.1.124,5
2020-03,B.1.13,208
2020-03,B.1.151,18
2020-03,B.1.157,48
2020-03,B.1.162,19
2020-03,B.1.163,3
2020-03,B.1.166,54
2020-03,B.1.169,1
2020-03,B.1.170,1
2020-03,B.1.177,5
2020-03,B.1.178,10
2020-03,B.1.182,2
2020-03,B.1.187,2
2020-03,B.1.190,56
2020-03,B.1.199,4
2020-03,B.1.2,11
2020-03,B.1.201,20
2020-03,B.1.205,1
2020-03,B.1.211,5
2020-03,B.1.215,19
2020-03,B.1.22,38
2020-03,B.1.220,9
2020-03,B.1.223,39
2020-03,B.1.23,73
2020-03,B.1.240,1
2020-03,B.1.243,3
2020-03,B.1.245,1
2020-03,B.1.260,3
2020-03,B.1.263,1
2020-03,B.1.264,17
2020-03,B.1.265,1
2020-03,B.1.267,8
2020-03,B.1.268,6
2020-03,B.1.276,1
2020-03,B.1.284,2
2020-03,B.1.293,2
2020-03,B.1.302,8
2020-03,B.1.311,1
2020-03,B.1.314,67
2020-03,B.1.319,56
2020-03,B.1.320,242
2020-03,B.1.323,6
2020-03,B.1.324,6
2020-03,B.1.330,4
2020-03,B.1.332,66
2020-03,B.1.333,5
2020-03,B.1.334,4
2020-03,B.1.336,14
2020-03,B.1.338,2
2020-03,B.1.344,10
2020-03,B.1.350,2
2020-03,B.1.354,1
2020-03,B.1.356,93
2020-03,B.1.359,3
2020-03,B.1.36,1
2020-03,B.1.360,46
2020-03,B.1.369,102
2020-03,B.1.37,40
2020-03,B.1.370,13
2020-03,B.1.371,301
2020-03,B.1.378,18
2020-03,B.1.38,16
2020-03,B.1.383,36
2020-03,B.1.384,4
2020-03,B.1.390,2
2020-03,B.1.391,177
2020-03,B.1.413,35
2020-03,B.1.415,4
2020-03,B.1.424,1
2020-03,B.1.428,7
2020-03,B.1.434,1
2020-03,B.1.439,20
2020-03,B.1.441,10
2020-03,B.1.442,4
2020-03,B.1.446,4
2020-03,B.1.450,14
2020-03,B.1.453,3
2020-03,B.1.471,1
2020-03,B.1.479,2
2020-03,B.1.483,6
2020-03,B.1.494,1
2020-03,B.1.499,1
2020-03,B.1.507,9
2020-03,B.1.510,6
2020-03,B.1.518,9
2020-03,B.1.521,2
2020-03,B.1.533,4
2020-03,B.1.547,1
2020-03,B.1.552,5
2020-03,B.1.566,3
2020-03,B.1.576,1
2020-03,B.1.578,1
2020-03,B.1.586,7
2020-03,B.1.589,4
2020-03,B.1.590,2
2020-03,B.1.595,134
2020-03,B.1.597,1
2020-03,B.1.6,5
2020-03,B.1.609,7
2020-03,B.1.78,15
2020-03,B.1.8,107
2020-03,B.1.9,14
2020-03,B.1.9.5,1
2020-03,B.1.91,74
2020-03,B.11,83
2020-03,B.12,14
2020-03,B.20,1
2020-03,B.23,186
2020-03,B.27,39
2020-03,B.28,81
2020-03,B.29,131
2020-03,B.3,460
2020-03,B.3.1,298
2020-03,B.30,16
2020-03,B.31,187
2020-03,B.33,404
2020-03,B.35,56
2020-03,B.37,4
2020-03,B.38,2
2020-03,B.39,237
2020-03,B.4,102
2020-03,B.4.1,1
2020-03,B.4.4,28
2020-03,B.4.5,31
2020-03,B.4.7,6
2020-03,B.40,1446
2020-03,B.43,1
2020-03,B.46,1
2020-03,B.51,9
2020-03,B.53,1
2020-03,B.55,155
2020-03,B.57,21
2020-03,B.58,51
2020-03,B.6,115
2020-03,B.6.3,1
2020-03,B.6.6,7
2020-03,B.61,91
2020-03,C.36,3
2020-03,D.2,1
2020-03,N.1,3
2020-03,unclassifiable,241
2020-03,B.1.1.378,5
2020-03,B.1.1.519,1
2020-03,B.1.1.7,8
2020-03,B.1.105,18
2020-03,B.1.128,47
2020-03,B.1.147,34
2020-03,B.1.289,1
2020-03,B.1.545,34
2020-03,B.1.93,135
2020-03,B.52,42
2020-03,C.14,1
2020-03,A.2.3,43
2020-03,A.26,1
2020-03,B.1.1.13,4
2020-03,B.1.1.135,2
2020-03,B.1.1.162,22
2020-03,B.1.1.166,6
2020-03,B.1.1.168,1
2020-03,B.1.1.17,50
2020-03,B.1.1.171,3
2020-03,B.1.1.174,2
2020-03,B.1.1.208,1
2020-03,B.1.1.213,5
2020-03,B.1.1.220,11
2020-03,B.1.1.25,1
2020-03,B.1.1.270,11
2020-03,B.1.1.277,20
2020-03,B.1.1.279,16
2020-03,B.1.1.3,4
2020-03,B.1.1.41,8
2020-03,B.1.1.419,28
2020-03,B.1.1.43,4
2020-03,B.1.1.440,1
2020-03,B.1.1.482,2
2020-03,B.1.1.5,25
2020-03,B.1.1.51,3
2020-03,B.1.1.83,25
2020-03,B.1.142,21
2020-03,B.1.153,20
2020-03,B.1.167,2
2020-03,B.1.222,46
2020-03,B.1.229,4
2020-03,B.1.248,2
2020-03,B.1.252,4
2020-03,B.1.256,5
2020-03,B.1.258,3
2020-03,B.1.277,7
2020-03,B.1.321,3
2020-03,B.1.379,27
2020-03,B.1.39,3
2020-03,B.1.395,37
2020-03,B.1.40,3
2020-03,B.1.431,1
2020-03,B.1.465,20
2020-03,B.1.468,1
2020-03,B.1.513,3
2020-03,B.1.564,3
2020-03,B.1.69,4
2020-03,B.1.70,1
2020-03,B.1.76,27
2020-03,B.1.81,2
2020-03,B.1.97,1
2020-03,B.10,84
2020-03,B.18,4
2020-03,B.26,19
2020-03,B.32,6
2020-03,B.34,44
2020-03,B.45,70
2020-03,B.47,37
2020-03,AY.36,1
2020-03,B.1.1.282,1
2020-03,B.1.110.1,1
2020-03,B.1.126,5
2020-03,B.1.308,1
2020-03,B.1.382,36
2020-03,B.1.476,1
2020-03,B.1.535,2
2020-03,B.1.555,12
2020-03,B.1.577,4
2020-03,BA.5.1.10,1
2020-03,B.1.1.192,2
2020-03,B.1.159,4
2020-03,B.1.195,5
2020-03,B.1.208,1
2020-03,B.1.273,32
2020-03,B.1.36.8,2
2020-03,B.1.367,1
2020-03,AY.29,1
2020-03,B.1.315,5
2020-03,B.1.351,1
2020-03,B.1.429,2
2020-03,B.1.517,4
2020-03,P.1,2
2020-03,Q.4,1
2020-03,R.1,1
2020-03,B.1.1.121,2
2020-03,B.1.1.198,4
2020-03,B.1.1.275,3
2020-03,B.1.117,1
2020-03,B.1.14,2
2020-03,B.1.227,3
2020-03,B.1.250,11
2020-03,B.15,32
2020-03,B.60,33
2020-03,B.1.1.101,3
2020-03,B.1.1.137,21
2020-03,B.1.1.154,1
2020-03,B.1.1.194,12
2020-03,B.1.1.210,1
2020-03,B.1.1.296,12
2020-03,B.1.177.20,1
2020-03,B.1.219,1
2020-03,B.1.343,1
2020-03,B.1.607,1
2020-03,B.1.9.1,1
2020-03,B.1.1.114,1
2020-03,B.1.1.122,1
2020-03,B.1.1.134,1
2020-03,B.1.1.190,7
2020-03,B.1.1.249,1
2020-03,B.1.1.261,1
2020-03,B.1.1.289,48
2020-03,B.1.1.339,9
2020-03,B.1.1.363,2
2020-03,B.1.1.366,1
2020-03,B.1.1.49,7
2020-03,B.1.1.74,2
2020-03,B.1.120,3
2020-03,B.1.280,1
2020-03,B.1.35,21
2020-03,B.1.422,1
2020-03,B.1.44,7
2020-03,B.1.489,3
2020-03,B.1.559,1
2020-03,B.1.572,1
2020-03,B.1.67,9
2020-03,B.56,1
2020-03,P.2,1
2020-04,A,157
2020-04,A.1,575
2020-04,A.12,5
2020-04,A.2,48
2020-04,A.2.2,145
2020-04,A.3,84
2020-04,A.4,11
2020-04,A.5,32
2020-04,B,697
2020-04,B.1,11724
2020-04,B.1.1,6882
2020-04,B.1.1.1,341
2020-04,B.1.1.10,314
2020-04,B.1.1.132,10
2020-04,B.1.1.161,11
2020-04,B.1.1.172,48
2020-04,B.1.1.175,3
2020-04,B.1.1.185,5
2020-04,B.1.1.189,6
2020-04,B.1.1.198,24
2020-04,B.1.1.222,10
2020-04,B.1.1.231,10
2020-04,B.1.1.244,4
2020-04,B.1.1.25,16
2020-04,B.1.1.257,25
2020-04,B.1.1.26,26
2020-04,B.1.1.274,25
2020-04,B.1.1.283,1
2020-04,B.1.1.291,1
2020-04,B.1.1.3,66
2020-04,B.1.1.306,2
2020-04,B.1.1.317,6
2020-04,B.1.1.319,1
2020-04,B.1.1.33,43
2020-04,B.1.1.335,1
2020-04,B.1.1.369,646
2020-04,B.1.1.409,4
2020-04,B.1.1.41,31
2020-04,B.1.1.48,26
2020-04,B.1.1.57,3
2020-04,B.1.1.61,43
2020-04,B.1.1.67,2
2020-04,B.1.1.7,6
2020-04,B.1.1.70,18
2020-04,B.1.1.71,38
2020-04,B.1.1.8,124
2020-04,B.1.103,38
2020-04,B.1.104,136
2020-04,B.1.105,53
2020-04,B.1.106,1
2020-04,B.1.108,14
2020-04,B.1.110,101
2020-04,B.1.110.1,1
2020-04,B.1.110.3,26
2020-04,B.1.111,22
2020-04,B.1.112,86
2020-04,B.1.119,8
2020-04,B.1.124,46
2020-04,B.1.13,176
2020-04,B.1.139,16
2020-04,B.1.14,54
2020-04,B.1.145,5
2020-04,B.1.147,40
2020-04,B.1.153,18
2020-04,B.1.157,70
2020-04,B.1.162,39
2020-04,B.1.166,39
2020-04,B.1.177,1
2020-04,B.1.187,23
2020-04,B.1.189,8
2020-04,B.1.190,28
2020-04,B.1.195,5
2020-04,B.1.199,35
2020-04,B.1.2,36
2020-04,B.1.201,152
2020-04,B.1.210,12
2020-04,B.1.22,68
2020-04,B.1.220,22
2020-04,B.1.225,36
2020-04,B.1.23,57
2020-04,B.1.241,26
2020-04,B.1.243,120
2020-04,B.1.245,11
2020-04,B.1.260,62
2020-04,B.1.264,58
2020-04,B.1.267,5
2020-04,B.1.268,88
2020-04,B.1.276,9
2020-04,B.1.293,3
2020-04,B.1.301,37
2020-04,B.1.302,4
2020-04,B.1.311,11
2020-04,B.1.314,44
2020-04,B.1.315,83
2020-04,B.1.319,80
2020-04,B.1.320,350
2020-04,B.1.323,17
2020-04,B.1.324,4
2020-04,B.1.330,19
2020-04,B.1.332,84
2020-04,B.1.333,3
2020-04,B.1.334,5
2020-04,B.1.336,10
2020-04,B.1.338,7
2020-04,B.1.341,2
2020-04,B.1.343,1
2020-04,B.1.344,17
2020-04,B.1.350,2
2020-04,B.1.356,99
2020-04,B.1.359,6
2020-04,B.1.36,32
2020-04,B.1.36.10,2
2020-04,B.1.36.8,20
2020-04,B.1.36.9,1
2020-04,B.1.360,30
2020-04,B.1.366,1
2020-04,B.1.369,110
2020-04,B.1.37,13
2020-04,B.1.370,33
2020-04,B.1.371,276
2020-04,B.1.378,3
2020-04,B.1.379,32
2020-04,B.1.38,12
2020-04,B.1.382,15
2020-04,B.1.384,187
2020-04,B.1.390,22
2020-04,B.1.391,392
2020-04,B.1.397,9
2020-04,B.1.398,1
2020-04,B.1.399,1
2020-04,B.1.400,7
2020-04,B.1.405,2
2020-04,B.1.413,34
2020-04,B.1.415,5
2020-04,B.1.424,1
2020-04,B.1.426,62
2020-04,B.1.435,23
2020-04,B.1.439,12
2020-04,B.1.442,11
2020-04,B.1.450,5
2020-04,B.1.451,1
2020-04,B.1.453,14
2020-04,B.1.468,4
2020-04,B.1.471,10
2020-04,B.1.473,9
2020-04,B.1.479,3
2020-04,B.1.485,66
2020-04,B.1.492,82
2020-04,B.1.493,15
2020-04,B.1.494,18
2020-04,B.1.498,3
2020-04,B.1.501,1
2020-04,B.1.503,34
2020-04,B.1.507,9
2020-04,B.1.509,1
2020-04,B.1.515,18
2020-04,B.1.520,3
2020-04,B.1.521,6
2020-04,B.1.523,1
2020-04,B.1.528,1
2020-04,B.1.533,9
2020-04,B.1.552,30
2020-04,B.1.558,5
2020-04,B.1.564,3
2020-04,B.1.576,1
2020-04,B.1.578,2
2020-04,B.1.586,1
2020-04,B.1.595,144
2020-04,B.1.595.4,7
2020-04,B.1.596,4
2020-04,B.1.609,83
2020-04,B.1.78,26
2020-04,B.1.8,64
2020-04,B.1.9,21
2020-04,B.1.9.2,1
2020-04,B.1.9.5,1
2020-04,B.1.91,54
2020-04,B.1.93,549
2020-04,B.1.96,31
2020-04,B.13,19
2020-04,B.19,25
2020-04,B.20,33
2020-04,B.23,89
2020-04,B.28,93
2020-04,B.29,83
2020-04,B.3,178
2020-04,B.30,10
2020-04,B.31,61
2020-04,B.33,153
2020-04,B.35,38
2020-04,B.37,1
2020-04,B.39,133
2020-04,B.4,23
2020-04,B.4.5,40
2020-04,B.4.6,1
2020-04,B.40,698
2020-04,B.46,31
2020-04,B.51,10
2020-04,B.55,17
2020-04,B.58,14
2020-04,B.6,91
2020-04,B.6.6,3
2020-04,C.14,9
2020-04,C.35,1
2020-04,D.2,1
2020-04,N.1,6
2020-04,unclassifiable,884
2020-04,B.1.1.113,54
2020-04,B.1.1.164,123
2020-04,B.1.1.34,3
2020-04,B.1.1.344,5
2020-04,B.1.1.480,15
2020-04,B.1.1.519,13
2020-04,B.1.1.88,3
2020-04,B.1.1.89,43
2020-04,B.1.1.98,29
2020-04,B.1.163,6
2020-04,B.1.222,308
2020-04,B.1.237,4
2020-04,B.1.239,5
2020-04,B.1.250,36
2020-04,B.1.289,105
2020-04,B.1.313,1
2020-04,B.1.321,13
2020-04,B.1.404,1
2020-04,B.1.422,2
2020-04,B.1.427,1
2020-04,B.1.443,1
2020-04,B.1.445,6
2020-04,B.1.579,23
2020-04,B.1.617,1
2020-04,B.1.637,1
2020-04,B.52,20
2020-04,A.2.3,115
2020-04,A.26,11
2020-04,B.1.1.119,20
2020-04,B.1.1.13,12
2020-04,B.1.1.137,33
2020-04,B.1.1.14,14
2020-04,B.1.1.142,59
2020-04,B.1.1.148,1
2020-04,B.1.1.162,4
2020-04,B.1.1.166,7
2020-04,B.1.1.168,12
2020-04,B.1.1.17,3
2020-04,B.1.1.171,32
2020-04,B.1.1.178,4
2020-04,B.1.1.194,66
2020-04,B.1.1.197,6
2020-04,B.1.1.208,7
2020-04,B.1.1.213,19
2020-04,B.1.1.214,1
2020-04,B.1.1.217,1
2020-04,B.1.1.220,146
2020-04,B.1.1.254,11
2020-04,B.1.1.270,47
2020-04,B.1.1.275,2
2020-04,B.1.1.277,19
2020-04,B.1.1.279,41
2020-04,B.1.1.28,21
2020-04,B.1.1.285,14
2020-04,B.1.1.289,204
2020-04,B.1.1.37,6
2020-04,B.1.1.372,422
2020-04,B.1.1.378,14
2020-04,B.1.1.379,3
2020-04,B.1.1.391,1
2020-04,B.1.1.395,2
2020-04,B.1.1.4,1
2020-04,B.1.1.402,3
2020-04,B.1.1.419,22
2020-04,B.1.1.43,52
2020-04,B.1.1.464,7
2020-04,B.1.1.482,3
2020-04,B.1.1.5,9
2020-04,B.1.1.51,7
2020-04,B.1.1.54,1
2020-04,B.1.1.74,2
2020-04,B.1.1.75,2
2020-04,B.1.1.83,163
2020-04,B.1.110.2,6
2020-04,B.1.115,1
2020-04,B.1.117,53
2020-04,B.1.12,9
2020-04,B.1.128,27
2020-04,B.1.142,127
2020-04,B.1.151,46
2020-04,B.1.159,4
2020-04,B.1.161,4
2020-04,B.1.167,1
2020-04,B.1.168,8
2020-04,B.1.198,9
2020-04,B.1.215,45
2020-04,B.1.223,96
2020-04,B.1.229,47
2020-04,B.1.232,45
2020-04,B.1.248,18
2020-04,B.1.254,24
2020-04,B.1.256,39
2020-04,B.1.258,1
2020-04,B.1.274,1
2020-04,B.1.277,7
2020-04,B.1.346,1
2020-04,B.1.35,81
2020-04,B.1.351,6
2020-04,B.1.39,11
2020-04,B.1.40,35
2020-04,B.1.418,8
2020-04,B.1.428,7
2020-04,B.1.431,16
2020-04,B.1.465,68
2020-04,B.1.466.2,1
2020-04,B.1.504,6
2020-04,B.1.505,2
2020-04,B.1.524,1
2020-04,B.1.535,1
2020-04,B.1.540,1
2020-04,B.1.545,3
2020-04,B.1.557,15
2020-04,B.1.559,35
2020-04,B.1.590,1
2020-04,B.1.69,4
2020-04,B.1.70,23
2020-04,B.1.76,30
2020-04,B.1.81,27
2020-04,B.1.9.1,19
2020-04,B.1.97,29
2020-04,B.10,38
2020-04,B.11,16
2020-04,B.12,5
2020-04,B.26,22
2020-04,B.27,14
2020-04,B.3.1,265
2020-04,B.32,16
2020-04,B.34,5
2020-04,B.36,1
2020-04,B.4.4,3
2020-04,B.4.7,2
2020-04,B.45,116
2020-04,B.47,9
2020-04,B.57,35
2020-04,B.61,31
2020-04,C.36,5
2020-04,A.6,5
2020-04,B.1.1.282,6
2020-04,B.1.1.487,7
2020-04,B.1.219,2
2020-04,B.1.310,2
2020-04,B.1.36.16,3
2020-04,B.1.383,42
2020-04,B.1.403,1
2020-04,B.1.428.2,1
2020-04,B.1.462,4
2020-04,B.1.589,1
2020-04,B.1.6,5
2020-04,L.2,13
2020-04,N.4,7
2020-04,N.6,3
2020-04,B.1.1.323,18
2020-04,B.1.178,1
2020-04,B.1.211,2
2020-04,B.1.273,52
2020-04,B.1.518,17
2020-04,BA.2.10,1
2020-04,P.1,2
2020-04,B.1.1.383,2
2020-04,B.1.1.40,8
2020-04,B.1.1.459,22
2020-04,B.1.381,11
2020-04,B.1.429,1
2020-04,B.1.517,6
2020-04,B.1.1.262,1
2020-04,B.1.1.462,2
2020-04,B.1.252,86
2020-04,B.1.555,9
2020-04,B.1.572,2
2020-04,B.60,45
2020-04,A.11,1
2020-04,B.1.1.122,2
2020-04,B.1.1.134,34
2020-04,B.1.1.154,16
2020-04,B.1.1.174,1
2020-04,B.1.1.192,2
2020-04,B.1.1.210,4
2020-04,B.1.1.273,1
2020-04,B.1.1.296,39
2020-04,B.1.1.412,1
2020-04,B.1.1.55,9
2020-04,B.1.1.59,1
2020-04,B.1.1.82,18
2020-04,B.1.1.99,3
2020-04,B.1.116,1
2020-04,B.1.308,3
2020-04,B.1.395,47
2020-04,B.1.446,1
2020-04,B.1.491,2
2020-04,B.1.607,13
2020-04,B.15,17
2020-04,B.41,1
2020-04,C.27,5
2020-04,B.1.1.112,1
2020-04,B.1.1.114,12
2020-04,B.1.1.121,1
2020-04,B.1.1.16,11
2020-04,B.1.1.190,5
2020-04,B.1.1.200,1
2020-04,B.1.1.249,8
2020-04,B.1.1.256,1
2020-04,B.1.1.261,2
2020-04,B.1.1.29,21
2020-04,B.1.1.294,5
2020-04,B.1.1.339,3
2020-04,B.1.1.360,31
2020-04,B.1.1.363,51
2020-04,B.1.1.398,1
2020-04,B.1.1.44,1
2020-04,B.1.1.49,22
2020-04,B.1.1.514,1
2020-04,B.1.1.518,1
2020-04,B.1.1.95,1
2020-04,B.1.120,31
2020-04,B.1.126,1
2020-04,B.1.143,1
2020-04,B.1.212,1
2020-04,B.1.227,1
2020-04,B.1.231,3
2020-04,B.1.234,1
2020-04,B.1.240,1
2020-04,B.1.249,2
2020-04,B.1.337,1
2020-04,B.1.44,89
2020-04,B.1.489,18
2020-04,B.1.565,3
2020-04,B.1.67,10
2020-04,B.18,8
2020-04,N.8,1
2020-04,N.9,1
2020-04,XBB.1.5,2
2020-04,XBB.1.5.8,1
2020-05,A,64
2020-05,A.1,183
2020-05,A.11,4
2020-05,A.2,12
2020-05,A.2.2,4
2020-05,A.3,24
2020-05,A.5,8
2020-05,AY.121,5
2020-05,B,134
2020-05,B.1,5130
2020-05,B.1.1,3003
2020-05,B.1.1.1,232
2020-05,B.1.1.10,79
2020-05,B.1.1.110,1
2020-05,B.1.1.132,39
2020-05,B.1.1.161,14
2020-05,B.1.1.172,2
2020-05,B.1.1.174,21
2020-05,B.1.1.175,2
2020-05,B.1.1.192,1
2020-05,B.1.1.205,8
2020-05,B.1.1.219,171
2020-05,B.1.1.222,11
2020-05,B.1.1.230,2
2020-05,B.1.1.231,11
2020-05,B.1.1.25,61
2020-05,B.1.1.254,1
2020-05,B.1.1.26,79
2020-05,B.1.1.274,7
2020-05,B.1.1.277,9
2020-05,B.1.1.284,2
2020-05,B.1.1.285,5
2020-05,B.1.1.290,14
2020-05,B.1.1.291,245
2020-05,B.1.1.3,60
2020-05,B.1.1.304,10
2020-05,B.1.1.306,11
2020-05,B.1.1.33,36
2020-05,B.1.1.376,4
2020-05,B.1.1.381,1
2020-05,B.1.1.404,1
2020-05,B.1.1.423,2
2020-05,B.1.1.424,1
2020-05,B.1.1.426,1
2020-05,B.1.1.440,1
2020-05,B.1.1.464,22
2020-05,B.1.1.48,3
2020-05,B.1.1.485,5
2020-05,B.1.1.514,5
2020-05,B.1.1.61,12
2020-05,B.1.1.70,10
2020-05,B.1.1.77,3
2020-05,B.1.1.8,20
2020-05,B.1.103,18
2020-05,B.1.104,12
2020-05,B.1.105,22
2020-05,B.1.106,12
2020-05,B.1.108,13
2020-05,B.1.110,16
2020-05,B.1.110.3,9
2020-05,B.1.111,6
2020-05,B.1.112,26
2020-05,B.1.116,4
2020-05,B.1.117,18
2020-05,B.1.124,54
2020-05,B.1.126,15
2020-05,B.1.137,4
2020-05,B.1.139,20
2020-05,B.1.14,1
2020-05,B.1.143,11
2020-05,B.1.145,1
2020-05,B.1.157,5
2020-05,B.1.162,17
2020-05,B.1.164,3
2020-05,B.1.166,23
2020-05,B.1.170,3
2020-05,B.1.181,2
2020-05,B.1.187,2
2020-05,B.1.199,29
2020-05,B.1.2,47
2020-05,B.1.201,95
2020-05,B.1.205,2
2020-05,B.1.210,17
2020-05,B.1.213,25
2020-05,B.1.223,21
2020-05,B.1.225,110
2020-05,B.1.239,8
2020-05,B.1.241,24
2020-05,B.1.243,197
2020-05,B.1.245,10
2020-05,B.1.247,8
2020-05,B.1.260,17
2020-05,B.1.264,3
2020-05,B.1.267,3
2020-05,B.1.268,2
2020-05,B.1.274,30
2020-05,B.1.276,1
2020-05,B.1.301,103
2020-05,B.1.302,6
2020-05,B.1.311,30
2020-05,B.1.314,5
2020-05,B.1.319,28
2020-05,B.1.320,104
2020-05,B.1.323,29
2020-05,B.1.324,9
2020-05,B.1.328,29
2020-05,B.1.330,49
2020-05,B.1.332,12
2020-05,B.1.333,8
2020-05,B.1.334,3
2020-05,B.1.336,19
2020-05,B.1.338,91
2020-05,B.1.340,4
2020-05,B.1.341,10
2020-05,B.1.344,16
2020-05,B.1.355,1
2020-05,B.1.36,35
2020-05,B.1.36.10,2
2020-05,B.1.36.16,8
2020-05,B.1.36.8,49
2020-05,B.1.360,8
2020-05,B.1.366,62
2020-05,B.1.369,212
2020-05,B.1.37,11
2020-05,B.1.370,25
2020-05,B.1.371,105
2020-05,B.1.384,82
2020-05,B.1.390,49
2020-05,B.1.391,95
2020-05,B.1.395,7
2020-05,B.1.397,13
2020-05,B.1.399,19
2020-05,B.1.400,11
2020-05,B.1.413,34
2020-05,B.1.415,3
2020-05,B.1.425,28
2020-05,B.1.426,266
2020-05,B.1.428,2
2020-05,B.1.434,1
2020-05,B.1.435,41
2020-05,B.1.439,38
2020-05,B.1.441,1
2020-05,B.1.442,10
2020-05,B.1.444,2
2020-05,B.1.451,4
2020-05,B.1.452,22
2020-05,B.1.453,52
2020-05,B.1.465,49
2020-05,B.1.468,5
2020-05,B.1.473,39
2020-05,B.1.485,2
2020-05,B.1.492,55
2020-05,B.1.494,6
2020-05,B.1.495,3
2020-05,B.1.496,14
2020-05,B.1.498,1
2020-05,B.1.503,73
2020-05,B.1.507,14
2020-05,B.1.508,25
2020-05,B.1.509,5
2020-05,B.1.513,3
2020-05,B.1.515,42
2020-05,B.1.521,23
2020-05,B.1.523,1
2020-05,B.1.533,7
2020-05,B.1.554,6
2020-05,B.1.558,15
2020-05,B.1.578,3
2020-05,B.1.586,4
2020-05,B.1.595,191
2020-05,B.1.595.4,46
2020-05,B.1.599,1
2020-05,B.1.605,3
2020-05,B.1.609,58
2020-05,B.1.8,29
2020-05,B.1.9.2,4
2020-05,B.1.9.5,1
2020-05,B.1.93,304
2020-05,B.13,2
2020-05,B.19,1
2020-05,B.20,9
2020-05,B.3,28
2020-05,B.33,20
2020-05,B.4,6
2020-05,B.4.5,9
2020-05,B.4.6,3
2020-05,B.4.7,9
2020-05,B.40,53
2020-05,B.46,15
2020-05,B.6,42
2020-05,B.6.6,6
2020-05,C.13,2
2020-05,C.14,5
2020-05,C.23,4
2020-05,C.25,2
2020-05,D.2,22
2020-05,N.1,5
2020-05,unclassifiable,740
2020-05,B.1.1.113,64
2020-05,B.1.1.147,2
2020-05,B.1.1.189,5
2020-05,B.1.1.228,8
2020-05,B.1.1.41,54
2020-05,B.1.1.432,2
2020-05,B.1.1.46,1
2020-05,B.1.1.480,12
2020-05,B.1.1.519,2
2020-05,B.1.1.63,3
2020-05,B.1.1.71,9
2020-05,B.1.1.98,7
2020-05,B.1.147,7
2020-05,B.1.189,12
2020-05,B.1.240,10
2020-05,B.1.289,169
2020-05,B.1.313,2
2020-05,B.1.405,5
2020-05,B.1.443,3
2020-05,B.1.445,4
2020-05,B.1.516,61
